,レース,芝ダ,距離,天候,馬場,着順,馬番,性齢,斤量,騎手,単勝,人気,馬体重,増減
606,6,芝,2000m,晴,良,4,7,牡3,56,"
三浦皇成
",9.7,5,450,+4
607,6,芝,2000m,晴,良,5,11,牡3,56,"
内田博幸
",138.6,14,476,-6
608,6,芝,2000m,晴,良,6,3,牝3,51,"
武藤雅
",97.2,10,470,-6
609,6,芝,2000m,晴,良,7,8,牡3,56,"
柴山雄一
",23.2,7,522,+4
610,6,芝,2000m,晴,良,8,15,牝3,54,"
二本柳壮
",31.1,8,426,-6
611,6,芝,2000m,晴,良,9,2,牡3,56,"
田辺裕信
",2.4,1,484,-2
612,6,芝,2000m,晴,良,10,4,牡3,56,"
西田雄一
",220.5,15,482,+12
613,6,芝,2000m,晴,良,11,1,牡3,56,"
江田照男
",100.2,11,496,+20
614,6,芝,2000m,晴,良,12,9,牝3,54,"
横山和生
",35.0,9,466,0
615,6,芝,2000m,晴,良,13,12,牡3,56,"
松岡正海
",12.5,6,440,+4
616,6,芝,2000m,晴,良,14,14,牝3,51,"
野中悠太
",233.0,16,418,+4
617,6,芝,2000m,晴,良,15,16,牡3,56,"
大野拓弥
",132.8,13,472,-4
618,6,芝,2000m,晴,良,16,5,牡3,56,"
黛弘人
",107.5,12,436,0
619,7,ダート,1800m,晴,良,1,5,牡4,56,"
田辺裕信
",3.5,1,530,+2
620,7,ダート,1800m,晴,良,2,4,セ5,57,"
蛯名正義
",15.0,5,542,+2
