,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
744,9,0,1800,0,0,9,9,54.0,106.1,12,422,-6,0
744,3,1,1800,0,0,9,3,56.0,2.4,1,462,0,0
744,7,0,1800,0,0,12,10,56.0,83.4,12,446,4,0
745,12,1,1800,0,1,1,6,55.0,1.7,1,490,-2,110
745,12,0,1200,0,0,12,6,57.0,18.4,7,468,14,0
745,2,1,1700,0,1,7,2,56.0,4.4,2,484,4,0
745,10,0,1800,0,1,9,10,57.0,10.6,4,508,2,0
745,9,0,1800,0,0,10,12,54.0,6.6,2,442,0,0
745,3,1,1800,0,0,10,16,56.0,38.9,10,466,0,0
745,7,0,1800,0,0,13,7,56.0,45.0,8,500,-2,0
746,12,1,1800,0,1,2,1,57.0,189.2,11,482,0,1560
746,12,0,1200,0,0,13,2,55.0,97.2,15,468,-4,0
746,2,1,1700,0,1,8,10,54.0,23.6,8,458,4,0
746,10,0,1800,0,1,10,9,57.0,37.6,9,498,0,0
746,9,0,1800,0,0,11,7,54.0,21.0,10,482,4,0
746,3,1,1800,0,0,11,2,56.0,6.6,3,518,0,0
746,7,0,1800,0,0,14,9,56.0,49.1,9,446,2,0
747,12,1,1800,0,1,3,12,57.0,17.0,4,526,0,380
747,11,0,1200,0,1,1,3,55.5,3.5,1,462,-6,140
747,12,0,1200,0,0,14,16,57.0,150.2,17,496,-2,0
747,2,1,1700,0,1,9,9,54.0,113.6,12,468,-14,0
747,9,0,1800,0,0,12,5,57.0,136.4,13,460,-10,0
747,3,1,1800,0,0,12,5,56.0,23.5,8,482,0,0
747,7,0,1800,0,0,15,14,55.0,403.2,16,402,-12,0
748,11,0,1200,0,1,2,7,57.0,5.8,3,524,4,180
748,12,0,1200,0,0,15,18,57.0,118.2,16,482,-10,0
748,2,1,1700,0,1,10,1,54.0,67.3,11,454,-4,0
748,9,0,1800,0,0,13,4,57.0,8.3,4,502,2,0
748,3,1,1800,0,0,13,1,56.0,17.9,6,522,0,0
748,7,0,1800,0,0,16,1,56.0,111.7,14,466,4,0
748,12,1,1800,0,1,4,3,57.0,4.2,2,440,2,0
749,11,0,1200,0,1,3,11,52.0,4.1,2,460,-4,150
749,8,1,1800,0,1,1,4,56.0,3.7,2,528,0,120
749,12,0,1200,0,0,16,3,55.0,175.4,18,434,-4,0
749,2,1,1700,0,1,11,11,55.0,61.7,10,504,8,0
749,9,0,1800,0,0,14,6,57.0,19.0,9,420,-2,0
749,3,1,1800,0,0,14,11,56.0,40.1,11,520,0,0
749,12,1,1800,0,1,5,9,55.0,150.7,10,480,-6,0
750,8,1,1800,0,1,2,3,57.0,1.7,1,508,2,110
750,11,0,1200,0,1,4,13,54.0,11.9,5,502,6,0
750,12,0,1200,0,0,17,5,57.0,70.8,14,478,0,0
750,2,1,1700,0,1,12,14,51.0,334.1,13,446,14,0
750,9,0,1800,0,0,15,3,57.0,207.5,14,448,-6,0
750,3,1,1800,0,0,15,8,56.0,151.3,16,440,0,0
750,12,1,1800,0,1,6,2,57.0,18.6,5,484,4,0
751,8,1,1800,0,1,3,8,57.0,23.0,6,452,2,280
751,11,0,1200,0,1,5,1,52.0,8.8,4,500,6,0
751,12,0,1200,0,0,18,7,57.0,58.5,12,462,0,0
751,2,1,1700,0,1,13,12,56.0,53.6,9,482,-2,0
751,9,0,1800,0,0,16,16,55.0,294.5,16,398,-14,0
751,3,1,1800,0,0,16,4,56.0,28.0,9,498,0,0
751,12,1,1800,0,1,7,10,57.0,244.1,12,480,-4,0
752,10,0,1200,0,0,1,2,57.0,4.8,2,524,-8,200
752,1,1,1700,0,0,1,1,54.0,7.0,3,472,2,190
752,3,0,1200,0,1,1,4,54.0,6.2,3,450,0,170
752,4,1,1200,0,0,1,2,57.0,2.3,1,484,2,120
752,11,0,1200,0,1,6,5,54.0,13.1,6,460,-8,0
752,8,1,1800,0,1,4,5,57.0,6.3,3,528,12,0
752,12,1,1800,0,1,8,13,57.0,5.2,3,512,12,0
753,10,0,1200,0,0,2,7,55.0,10.3,7,494,-6,300
753,3,0,1200,0,1,2,16,54.0,4.2,2,456,12,200
753,4,1,1200,0,0,2,13,56.0,4.6,2,498,2,140
753,1,1,1700,0,0,2,2,54.0,1.9,1,470,0,110
753,11,0,1200,0,1,7,2,53.0,20.0,10,476,6,0
753,8,1,1800,0,1,5,6,55.0,90.0,9,442,18,0
753,12,1,1800,0,1,9,7,57.0,72.4,9,500,-6,0
754,3,0,1200,0,1,3,6,54.0,33.5,10,392,-10,970
