,距離,馬場,着順,馬番,斤量,単勝,人気,増減,前着順,前距離,前馬番,前人気,複勝
13052,2200,1,13,2,51,152.1,11,2,16,1600,13,14,0
13053,1600,1,1,4,57,4.3,3,2,6,1600,14,5,140
13054,1600,1,2,6,57,9.2,5,-6,6,1600,2,4,190
13055,1600,1,3,2,52,3.6,2,0,3,1600,18,4,130
13056,1600,1,4,1,54,16.2,6,10,1,1600,3,4,0
13057,1600,1,5,9,54,2.9,1,14,1,1800,14,1,0
13058,1600,1,6,5,57,190.1,9,-4,16,1400,15,18,0
13059,1600,1,7,7,57,50,8,-2,7,1600,10,10,0
13060,1600,1,8,3,54,6.1,4,0,4,1600,6,2,0
13061,1600,1,9,8,57,20.3,7,-6,3,1700,2,1,0
13062,1400,1,1,15,54,1.9,1,4,6,1600,17,4,130
13063,1400,1,2,10,55,11.2,5,6,5,1400,2,2,230
13064,1400,1,3,8,57,9.4,3,0,2,1400,8,5,210
13065,1400,1,4,14,57,22.9,9,-4,1,1600,5,3,0
13066,1400,1,5,12,57,12.9,7,-10,5,1400,1,3,0
13067,1400,1,7,6,52,20.1,8,0,12,1400,10,2,0
13068,1400,1,8,13,55,98.2,13,0,10,1800,9,9,0
13069,1400,1,9,2,55,184.2,16,0,9,1400,8,10,0
13070,1400,1,10,9,57,8.8,2,2,2,1400,9,4,0
13071,1400,1,12,11,57,239.9,17,-6,10,1200,8,16,0
13072,1400,1,13,7,55,71,11,-2,7,1400,5,6,0
13073,1400,1,14,17,57,96.8,12,0,7,1600,6,5,0
13074,1400,1,15,16,55,31,10,-2,3,1400,12,13,0
13075,1400,1,16,4,57,100.7,15,0,4,1200,6,5,0
13076,1400,1,17,5,57,11.2,4,-4,2,1400,8,9,0
13077,1400,1,18,3,57,255.8,18,8,14,1400,10,16,0
13078,1200,1,1,11,51,12.7,5,8,7,1200,1,13,330
13079,1200,1,2,7,57,9.1,3,16,12,1200,14,1,270
13080,1200,1,3,3,52,2.4,1,-4,4,1400,7,10,150
13081,1200,1,4,15,57,18.3,7,0,9,1200,6,3,0
13082,1200,1,5,4,53,38,10,10,9,1200,16,8,0
13083,1200,1,6,6,49,20.7,8,2,6,1400,9,12,0
13084,1200,1,7,1,54,11.7,4,6,9,1000,9,3,0
13085,1200,1,8,13,57,78.4,14,-18,10,1400,4,9,0
13086,1200,1,9,2,54,26.5,9,0,10,1800,3,6,0
13087,1200,1,10,9,54,3.8,2,-6,5,1400,16,4,0
13088,1200,1,11,12,54,73.1,13,0,6,1600,9,10,0
13089,1200,1,12,5,55,13.8,6,14,6,1200,6,6,0
13090,1200,1,13,10,57,85.1,15,-6,6,1400,6,15,0
13091,1200,1,14,8,52,61.7,12,-6,8,1400,6,8,0
13092,1200,1,15,14,57,53.9,11,20,4,1200,7,3,0
13093,1400,1,1,4,54,1.3,1,-10,2,1400,2,2,100
13094,1400,1,2,2,54,4.8,2,-4,4,1200,3,3,130
13095,1400,1,3,1,54,12.9,4,-2,6,1600,5,4,
13096,1400,1,4,3,51,6.5,3,-2,5,1200,10,7,0
13097,1400,1,5,5,54,47.2,5,-4,8,1600,1,9,0
13098,1400,1,6,6,54,62.4,6,-8,8,1200,6,8,0
13099,1600,1,1,8,54,3.2,1,8,7,2000,9,1,160
13100,1600,1,2,9,56,10.6,4,4,5,1600,17,4,280
13101,1600,1,3,15,56,17.8,8,-4,14,1800,1,3,550
13102,1600,1,4,14,54,4.1,2,0,3,1600,1,3,0
13103,1600,1,5,3,54,5.1,3,6,9,1800,8,1,0
13104,1600,1,6,1,51,99.6,13,6,9,1600,11,12,0
13105,1600,1,7,5,54,164.3,14,-10,10,1800,11,9,0
13106,1600,1,8,4,56,19.5,9,-2,4,1600,12,11,0
13107,1600,1,9,12,56,12.1,6,8,9,1600,11,9,0
13108,1600,1,10,7,53,11.3,5,4,4,1600,3,3,0
13109,1600,1,11,11,51,16.3,7,-8,4,1600,10,13,0
13110,1600,1,12,2,53,90.3,12,0,12,1800,1,13,0
13111,1600,1,13,16,54,284.5,15,6,16,1800,9,13,0
13112,1600,1,14,13,54,326.3,16,0,12,1800,11,13,0
13113,1600,1,15,6,56,60.1,11,2,6,1800,3,8,0
13114,1600,1,16,10,56,51.6,10,6,13,1800,13,11,0
13115,2000,1,1,18,56,18.9,7,4,6,2000,6,8,400
13116,2000,1,2,12,54,2.4,1,-6,3,1600,12,1,140
13117,2000,1,3,9,54,11.7,5,0,7,2400,7,7,290
13118,2000,1,4,7,56,36.8,11,2,10,1800,16,6,0
13119,2000,1,5,4,56,6.3,3,-2,7,1800,1,5,0
13120,2000,1,6,3,56,115.4,13,-8,12,1800,14,12,0
13121,2000,1,7,16,54,4.6,2,8,3,2000,4,12,0
13122,2000,1,8,8,56,34.5,9,8,8,2600,7,4,0
13123,2000,1,9,2,56,42.7,12,4,8,1800,9,7,0
13124,2000,1,10,15,54,180.4,16,0,14,1200,8,14,0
13125,2000,1,11,14,54,36.5,10,-2,9,1600,2,10,0
13126,2000,1,12,1,56,16.1,6,-2,8,1800,1,3,0
13127,2000,1,13,13,53,471.9,17,1,10,1400,8,6,0
13128,2000,1,14,6,56,120.7,14,-8,16,2000,2,11,0
13129,2000,1,15,17,54,25.8,8,14,5,1800,12,10,0
13130,2000,1,16,11,55,133.8,15,0,8,1800,5,13,0
13131,2000,1,17,5,53,11.1,4,0,5,2000,5,4,0
13132,2000,1,18,10,54,475.1,18,-10,13,1600,15,15,0
13133,1600,1,1,3,54,86.9,10,0,5,1600,3,10,880
13134,1600,1,2,7,54,1.7,1,0,5,1600,7,1,110
13135,1600,1,3,4,54,4.8,2,0,5,1600,4,2,140
13136,1600,1,4,5,54,23.1,5,0,5,1600,5,5,0
13137,1600,1,5,8,54,24.5,7,0,5,1600,8,7,0
13138,1600,1,6,6,53,45.9,9,0,5,1600,6,9,0
13139,1600,1,7,9,54,16.6,4,0,5,1600,9,4,0
13140,1600,1,8,1,54,6,3,0,5,1600,1,3,0
13141,1600,1,9,10,54,156.9,11,0,5,1600,10,11,0
13142,1600,1,10,11,54,39.9,8,0,5,1600,11,8,0
13143,1600,1,11,2,54,23.4,6,0,5,1600,2,6,0
13144,1400,1,1,5,54,12.5,5,0,5,1400,5,5,280
13145,1400,1,2,1,54,2.4,1,0,5,1400,1,1,130
13146,1400,1,3,2,54,6.2,3,0,5,1400,2,3,170
13147,1400,1,4,8,54,18,7,0,5,1400,8,7,0
13148,1400,1,5,6,54,4.4,2,0,5,1400,6,2,0
13149,1400,1,6,7,54,16.6,6,0,5,1400,7,6,0
13150,1400,1,7,9,54,7.5,4,0,5,1400,9,4,0
13151,1400,1,8,3,54,40.6,9,0,5,1400,3,9,0
13152,1400,1,9,10,54,38.5,8,0,5,1400,10,8,0
13153,1400,1,10,4,54,126.4,11,0,5,1400,4,11,0
13154,1400,1,11,11,52,49.9,10,0,5,1400,11,10,0
13155,2000,1,1,6,54,14.8,5,-6,7,2000,3,5,290
13156,2000,1,2,9,52,1.7,1,6,2,1800,10,1,110
13157,2000,1,3,1,55,15.7,6,2,4,2000,7,7,240
13158,2000,1,4,10,57,48.7,10,-4,8,2200,5,9,0
