iter	Passed	Remaining
814	4788	1086
815	4792	1080
816	4796	1074
817	4800	1067
818	4807	1062
819	4813	1056
820	4817	1050
821	4823	1044
822	4829	1038
823	4835	1032
824	4842	1027
825	4848	1021
826	4856	1015
827	4863	1010
828	4867	1004
829	4877	999
830	4883	993
831	4890	987
832	4896	981
833	4903	975
834	4906	969
835	4910	963
836	4914	956
837	4918	950
838	4922	944
839	4926	938
840	4930	932
841	4933	925
842	4937	919
843	4941	913
844	4945	907
845	4949	900
846	4953	894
847	4957	888
848	4961	882
849	4965	876
850	4971	870
851	4975	864
852	4978	857
853	4982	851
854	4986	845
855	4991	839
856	4994	833
857	4999	827
858	5006	821
859	5013	816
860	5020	810
861	5031	805
862	5039	799
863	5046	794
864	5053	788
865	5059	782
866	5067	777
867	5072	771
868	5079	765
869	5086	760
870	5093	754
871	5099	748
872	5105	742
873	5112	737
874	5117	731
875	5121	724
876	5125	718
877	5129	712
878	5132	706
879	5136	700
880	5140	694
881	5144	688
882	5148	682
883	5151	676
884	5155	669
885	5159	663
886	5163	657
887	5167	651
888	5178	646
889	5182	640
890	5185	634
891	5188	628
892	5192	622
893	5199	616
894	5205	610
895	5211	604
896	5218	599
897	5224	593
898	5230	587
899	5235	581
900	5241	575
901	5249	570
902	5257	564
903	5264	559
904	5270	553
905	5278	547
906	5285	541
907	5291	536
908	5298	530
909	5304	524
910	5307	518
911	5311	512
912	5315	506
913	5318	500
914	5322	494
915	5326	488
916	5330	482
917	5333	476
918	5337	470
919	5342	464
920	5345	458
921	5349	452
922	5353	446
923	5357	440
924	5361	434
925	5364	428
926	5369	422
927	5373	416
928	5377	410
929	5381	405
930	5385	399
931	5388	393
932	5395	387
933	5400	381
934	5406	375
935	5414	370
936	5419	364
937	5428	358
938	5433	352
939	5440	347
940	5448	341
941	5454	335
942	5462	330
943	5468	324
944	5475	318
945	5482	312
946	5488	307
947	5495	301
948	5501	295
949	5504	289
950	5510	283
951	5513	278
952	5517	272
953	5521	266
954	5525	260
955	5528	254
956	5532	248
957	5536	242
958	5540	236
959	5544	231
960	5548	225
961	5552	219
962	5555	213
963	5559	207
964	5563	201
965	5567	195
966	5571	190
967	5576	184
968	5579	178
969	5583	172
970	5586	166
971	5590	161
972	5596	155
973	5602	149
974	5608	143
975	5613	138
976	5620	132
977	5628	126
978	5632	120
979	5640	115
980	5646	109
981	5655	103
982	5661	97
983	5668	92
984	5674	86
985	5681	80
986	5689	74
987	5694	69
988	5699	63
989	5703	57
990	5707	51
991	5711	46
992	5715	40
993	5719	34
994	5723	28
995	5726	22
996	5730	17
997	5734	11
998	5738	5
999	5741	0
