,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減
2867,10,0,1200,0,0,12,9,54.0,70.2,12,422,2
2868,10,0,1200,0,0,13,2,54.0,173.9,15,474,-2
2869,10,0,1200,0,0,14,7,55.0,214.3,16,422,-4
2870,10,0,1200,0,0,15,10,55.0,86.8,13,444,6
2871,10,0,1200,0,0,16,12,54.0,10.4,5,446,18
2872,11,0,2000,0,0,1,2,55.0,4.5,2,440,-2
2873,11,0,2000,0,0,2,6,55.0,4.7,3,460,6
2874,11,0,2000,0,0,3,1,57.0,3.6,1,496,0
2875,11,0,2000,0,0,4,7,56.0,18.6,7,456,4
2876,11,0,2000,0,0,5,10,56.0,50.3,13,480,-16
2877,11,0,2000,0,0,6,9,55.0,45.9,11,470,0
2878,11,0,2000,0,0,7,12,57.5,8.4,4,528,0
2879,11,0,2000,0,0,8,11,57.0,21.7,9,476,4
2880,11,0,2000,0,0,9,15,56.0,48.6,12,492,2
2881,11,0,2000,0,0,10,8,56.0,158.7,15,484,-6
2882,11,0,2000,0,0,11,5,55.0,11.0,5,478,-8
2883,11,0,2000,0,0,12,14,56.0,25.0,10,490,-8
2884,11,0,2000,0,0,13,4,56.0,234.9,16,476,0
2885,11,0,2000,0,0,14,16,55.0,18.2,6,456,0
2886,11,0,2000,0,0,15,3,54.0,19.9,8,512,4
2887,11,0,2000,0,0,16,13,54.0,59.8,14,508,8
2888,12,0,1800,0,0,1,14,53.0,4.8,3,420,-4
2889,12,0,1800,0,0,2,7,55.0,4.0,2,494,-4
2890,12,0,1800,0,0,3,1,57.0,3.1,1,472,0
2891,12,0,1800,0,0,4,6,55.0,44.1,9,476,-8
2892,12,0,1800,0,0,5,15,55.0,46.7,10,486,4
2893,12,0,1800,0,0,6,9,57.0,32.7,8,508,6
2894,12,0,1800,0,0,7,4,55.0,91.8,12,492,-2
2895,12,0,1800,0,0,8,8,55.0,22.8,7,476,4
2896,12,0,1800,0,0,9,11,53.0,6.8,4,452,-2
2897,12,0,1800,0,0,10,12,57.0,10.4,5,484,2
2898,12,0,1800,0,0,11,3,55.0,115.5,13,460,0
2899,12,0,1800,0,0,12,5,57.0,328.0,16,460,-6
2900,12,0,1800,0,0,13,2,57.0,13.2,6,486,-4
2901,12,0,1800,0,0,14,16,55.0,197.9,15,448,-2
2902,12,0,1800,0,0,15,13,55.0,124.6,14,476,0
2903,12,0,1800,0,0,16,10,55.0,79.9,11,462,0
2904,1,1,1150,0,0,1,9,54.0,11.3,4,414,0
2905,1,1,1150,0,0,2,2,55.0,28.9,7,440,0
2906,1,1,1150,0,0,3,3,54.0,14.6,5,468,4
2907,1,1,1150,0,0,4,16,54.0,4.3,3,464,2
2908,1,1,1150,0,0,5,5,54.0,2.8,1,440,-2
2909,1,1,1150,0,0,6,6,54.0,61.4,11,434,-10
2910,1,1,1150,0,0,7,10,52.0,57.9,10,426,2
2911,1,1,1150,0,0,8,7,52.0,3.9,2,468,10
2912,1,1,1150,0,0,9,12,54.0,19.1,6,478,2
2913,1,1,1150,0,0,10,14,54.0,40.2,9,434,0
2914,1,1,1150,0,0,11,4,54.0,32.9,8,440,-4
2915,1,1,1150,0,0,12,13,54.0,326.9,15,430,8
2916,1,1,1150,0,0,13,1,54.0,286.2,13,442,20
2917,1,1,1150,0,0,14,15,54.0,180.0,12,450,-6
2918,1,1,1150,0,0,15,11,53.0,305.7,14,464,26
2919,1,1,1150,0,0,16,8,54.0,379.4,16,380,-14
2920,2,1,1700,0,0,1,13,55.0,7.4,2,510,-4
2921,2,1,1700,0,0,2,11,55.0,1.6,1,474,-8
2922,2,1,1700,0,0,3,7,57.0,14.0,5,500,-2
2923,2,1,1700,0,0,4,1,57.0,12.6,4,522,0
2924,2,1,1700,0,0,5,5,57.0,9.9,3,508,0
2925,2,1,1700,0,0,6,14,57.0,21.3,7,478,-12
2926,2,1,1700,0,0,7,9,57.0,182.4,15,484,10
2927,2,1,1700,0,0,8,15,55.0,26.3,8,494,-6
2928,2,1,1700,0,0,9,2,53.0,63.8,11,492,12
2929,2,1,1700,0,0,10,6,56.0,109.9,14,478,3
2930,2,1,1700,0,0,11,12,54.0,53.6,10,518,0
2931,2,1,1700,0,0,12,4,57.0,39.8,9,502,0
2932,2,1,1700,0,0,13,8,56.0,75.2,12,474,8
2933,2,1,1700,0,0,14,10,55.0,15.6,6,460,10
2934,2,1,1700,0,0,15,3,55.0,81.9,13,498,6
2935,3,0,1200,0,0,1,7,53.0,54.2,10,416,8
2936,3,0,1200,0,0,2,10,54.0,6.5,3,440,-4
2937,3,0,1200,0,0,3,3,54.0,18.4,6,430,-4
2938,3,0,1200,0,0,4,2,54.0,3.4,2,482,-2
2939,3,0,1200,0,0,5,4,54.0,216.7,15,440,8
2940,3,0,1200,0,0,6,1,54.0,3.1,1,462,-2
2941,3,0,1200,0,0,7,14,54.0,11.7,5,470,2
2942,3,0,1200,0,0,8,6,52.0,26.3,8,454,-4
2943,3,0,1200,0,0,9,9,54.0,412.7,16,448,-10
2944,3,0,1200,0,0,10,12,54.0,22.6,7,424,6
2945,3,0,1200,0,0,11,13,52.0,8.1,4,428,-6
2946,3,0,1200,0,0,12,15,54.0,73.1,11,418,10
